"Experiment","File","Class","CWE","CVSS","Expected","Prediction","Probability ofVulnerable","Probability ofNot Vulnerable"
"v4.0","drivers/tty/serial/sunsab.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/sh/boards/mach-highlander/pinmux-r7785rp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/freevxfs/vxfs_bmap.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","kernel/sched/fair.c","Vulnerability","400","7.5","Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","tools/perf/builtin-annotate.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/bluetooth/hci_ll.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/staging/comedi/drivers/comedi_isadma.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/acpi/acpica/exdump.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/ia64/sn/kernel/huberror.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/hwtracing/coresight/of_coresight.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/wireless/libertas/tx.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","sound/soc/samsung/arndale_rt5631.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/can/vcan.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/ufs/namei.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/powerpc/platforms/powermac/low_i2c.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","scripts/dtc/util.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/tty/serial/8250/8250_fsl.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/ipv6/netfilter/nft_chain_route_ipv6.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","sound/pcmcia/vx/vxpocket.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/video/fbdev/vga16fb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/mips/loongson/common/init.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/staging/lustre/lustre/lov/lov_offset.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/netrom/nr_subr.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/usb/host/ohci-sm501.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/power/reset/rmobile-reset.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/nfs/pnfs.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/rxrpc/af_rxrpc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","sound/pci/ice1712/revo.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/hwmon/ad7414.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/misc/mei/main.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","security/keys/persistent.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/uwb/ie-rcv.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/usb/gadget/udc/s3c2410_udc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/xfs/xfs_stats.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/arm/mach-bcm/brcmstb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/ethernet/sis/sis900.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/wireless/rt2x00/rt2800lib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/mips/ath79/mach-db120.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/s390/kernel/smp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"v4.0","drivers/scsi/libsas/sas_port.c","Vulnerability","388","2.1","Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/macintosh/via-pmu-led.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/wireless/brcm80211/brcmfmac/vendor.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/staging/lustre/lustre/ldlm/interval_tree.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/platform/x86/hp-wireless.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/mmc/host/sdhci-acpi.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/input/misc/ad714x-spi.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/ata/pata_sis.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/video/fbdev/omap2/omapfb/omapfb-sysfs.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/media/tuners/tda8290.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/w1/slaves/w1_bq27000.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/cifs/misc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/powerpc/lib/usercopy_64.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/video/fbdev/macmodes.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/rds/ib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/arm/mach-omap1/gpio16xx.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/sh/boards/board-apsh4a3a.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/wireless/rt2x00/rt61pci.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/acpi/acpica/utmath.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/base/regmap/regmap-spi.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/input/misc/ab8500-ponkey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/leds/trigger/ledtrig-gpio.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/clk/at91/clk-system.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/scsi/libfc/fc_disc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.01","0.99"
"v4.0","arch/sh/kernel/signal_32.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/gpio/gpio-stp-xway.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/x25/x25_link.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/input/touchscreen/hp680_ts_input.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/staging/comedi/drivers/ni_at_a2150.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/staging/comedi/drivers/dac02.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/powerpc/platforms/85xx/p1022_rdk.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/wireless/ath/ath5k/pci.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/ethernet/broadcom/bnx2x/bnx2x_sp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/misc/ibmasm/dot_command.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/sh/lib/delay.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/gpu/drm/shmobile/shmob_drm_kms.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/usb/musb/ux500_dma.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/ext2/symlink.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/power/ab8500_bmdata.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","lib/raid6/recov_ssse3.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/decnet/dn_fib.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/gpu/drm/nouveau/nvkm/engine/disp/gt215.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/usb/misc/chaoskey.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/ntfs/mft.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/ptp/ptp_clock.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/f2fs/file.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","kernel/power/console.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/sysv/super.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/atm/uPD98402.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/ssb/driver_chipcommon.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/can/rcar_can.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/input/misc/apanel.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/team/team_mode_roundrobin.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/staging/comedi/drivers/das6402.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/gpu/drm/nouveau/dispnv04/tvnv04.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/sbus/char/display7seg.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","kernel/kmod.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/arm/mach-omap2/clock36xx.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/arm/mach-s3c64xx/mach-smartq.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/media/usb/dvb-usb-v2/ec168.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/exofs/ore.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/ext4/indirect.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","scripts/dtc/checks.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/clk/mxs/clk-ssp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/minix/bitmap.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/ext3/super.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/x86/boot/pm.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/cris/arch-v10/drivers/gpio.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/media/rc/keymaps/rc-pctv-sedna.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/bluetooth/hci_intel.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/mac80211/status.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/media/pci/cx88/cx88-vbi.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/staging/gdm72xx/gdm_sdio.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/rds/tcp_connect.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/input/touchscreen/mtouch.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/wireless/rtlwifi/btcoexist/halbtc8192e2ant.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/pinctrl/nomadik/pinctrl-nomadik.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/phy/lxt.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/staging/rtl8192u/ieee80211/rtl819x_TSProc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/usb/class/usblp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/staging/i2o/bus-osm.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/arm/mach-at91/sama5.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/batman-adv/hard-interface.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/mips/lantiq/xway/prom.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/scsi/aacraid/dpcsup.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/xen/dbgp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/irda/au1k_ir.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/powerpc/platforms/cell/spufs/spu_save.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/ipv4/netfilter/nf_defrag_ipv4.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/ethernet/mellanox/mlx4/reset.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/iio/pressure/bmp280.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","sound/firewire/oxfw/oxfw-stream.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/crypto/s5p-sss.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/powerpc/platforms/86xx/gef_sbc310.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/spi/spi-clps711x.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/acpi/pmic/intel_pmic_crc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/usb/gl620a.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/usb/host/ehci-pci.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","mm/early_ioremap.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/ipv4/udp_offload.c","Vulnerability","400","7.8","Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/mips/sni/pcit.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/parisc/kernel/ptrace.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/ethernet/amd/sun3lance.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/pci/hotplug/sgi_hotplug.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/phy/ste10Xp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","samples/seccomp/bpf-fancy.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/infiniband/ulp/ipoib/ipoib_verbs.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","lib/cpu-notifier-error-inject.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/netfilter/nf_conntrack_timestamp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/openvswitch/flow_netlink.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/ext4/file.c","Vulnerability","362","1.9","Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/9p/trans_fd.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/um/os-Linux/drivers/tuntap_user.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/infiniband/core/mad.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/gpu/drm/nouveau/nvkm/engine/disp/sorgf110.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/xfs/xfs_log_recover.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/scsi/bfa/bfa_hw_cb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/blackfin/kernel/traps.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/microblaze/lib/memmove.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/usb/rtl8150.c","Vulnerability","119","7.2","Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/mips/loongson/loongson-3/cop2-ex.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/arm/mach-spear/pl080.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/vhost/vringh.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/microblaze/kernel/unwind.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","mm/memory_hotplug.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/clocksource/timer-keystone.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/platform/x86/xo15-ebook.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/arm/mach-imx/clk-imx1.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/media/usb/em28xx/em28xx-audio.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/ethernet/i825xx/82596.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/mips/cavium-octeon/executive/cvmx-helper-spi.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/thermal/int340x_thermal/int3402_thermal.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/ata/acard-ahci.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/clk/hisilicon/clk-hip04.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/pcmcia/pxa2xx_cm_x270.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/video/fbdev/msm/mdp.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/input/mouse/cyapa_gen3.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/dccp/options.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","sound/soc/cirrus/simone.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/clk/pxa/clk-pxa27x.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/s390/char/hmcdrv_cache.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","security/capability.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/hwmon/ltc4222.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/ceph/crush/mapper.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/input/tablet/gtco.c","Vulnerability","125","7.2","Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/media/rc/img-ir/img-ir-nec.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/media/usb/tm6000/tm6000-core.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/tty/serial/8250/8250_exar_st16c554.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/firewire/nosy.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/wireless/iwlwifi/iwl-eeprom-read.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/ntfs/aops.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/mips/dec/kn02-irq.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/gpio/gpio-mxc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/staging/rtl8723au/hal/HalPwrSeqCmd.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/net/irda/ali-ircc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/blackfin/mach-bf538/boards/ezkit.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/hid/hid-roccat-kovaplus.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/hwmon/wm8350-hwmon.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/clk/mvebu/clk-corediv.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/metag/kernel/perf_callchain.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","sound/firewire/fireworks/fireworks_hwdep.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/spi/spi-bcm63xx.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/powerpc/platforms/83xx/mpc832x_rdb.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/staging/lustre/lustre/libcfs/prng.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/mips/bcm63xx/dev-hsspi.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/acpi/acpica/nsxfname.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/mips/ralink/irq.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/mips/math-emu/ieee754.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/gpu/drm/rcar-du/rcar_du_crtc.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/power/apm_power.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/scsi/mac_scsi.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/hid/hid-roccat-savu.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","net/ipv6/xfrm6_mode_transport.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","drivers/w1/slaves/w1_ds28e04.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","fs/dlm/requestqueue.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
"v4.0","arch/arm/mach-imx/devices/platform-sdhci-esdhc-imx.c","Clear",,,"Not Vulnerable","Not Vulnerable","0.0","1.0"
