"%s\n"	,	L_31
"%s ep:%s status:%d\n"	,	L_24
u64	,	T_4
next_bd_dma	,	V_122
BDC_EP_STOP	,	V_56
"queuing request %p to %s length %d zero:%d\n"	,	L_97
bdc_ep_enable	,	F_47
setup_bd_list_xfr	,	F_27
WAIT_FOR_DATA_XMIT	,	V_202
ep0_queue_status_stage	,	F_50
bdc_xsf_ep0_status_start	,	F_86
dma_addr_t	,	T_2
"failed to clear STALL on %s\n"	,	L_41
bd_table_array	,	V_11
dma_last_bd	,	V_41
start_bdi	,	V_89
len	,	V_155
"USB_REQ_GET_STATUS\n"	,	L_78
to_bdc_req	,	F_92
bdc_sr	,	V_141
"test_mode:%d\n"	,	L_86
USB_RECIP_ENDPOINT	,	V_191
state	,	V_158
init_ep	,	F_103
"%s ep:%s req:%p\n"	,	L_100
USB_REQ_SET_FEATURE	,	V_211
ep0_set_sel_cmpl	,	F_81
dma_pool_alloc	,	F_12
remaining	,	V_35
usb_endpoint_maxp	,	F_28
"%s addr:%d dev state:%d\n"	,	L_51
bdc_gadget_ep_queue	,	F_90
"short xfr on %d\n"	,	L_48
GFP_KERNEL	,	V_238
roundup	,	F_29
EINPROGRESS	,	V_110
USB_REQ_SET_CONFIGURATION	,	V_210
ctrl	,	V_156
"USB_DEVICE_U2_ENABLE\n"	,	L_57
ep0_set_address	,	F_73
bdc_ep_disable	,	F_41
bd_list	,	V_4
available_bd	,	V_52
found	,	V_42
end_pending	,	V_117
num_bds_table	,	V_29
USB_SPEED_SUPER	,	V_172
le16_to_cpu	,	F_26
usb2_pm	,	V_132
BD_ISP	,	V_95
u8	,	T_5
usb_endpoint_type	,	F_49
"%s() ep:%s ep-&gt;flags:%08x\n"	,	L_107
comp_desc	,	V_106
regs	,	V_57
"USB_DEVICE_TEST_MODE\n"	,	L_55
"available_bd:%d\n"	,	L_14
bdc_ep_bla	,	F_60
short_not_ok	,	V_152
USB_REQ_SET_ISOCH_DELAY	,	V_215
"ep0_state:%s"	,	L_82
buf	,	V_198
"len=%d actual=%d bd_xfr-&gt;next_hwd_bdi:%d\n"	,	L_47
"Unknown recipient for get_status\n"	,	L_70
ep0_req	,	V_114
bdc_req_complete	,	F_35
bdc_gadget_free_request	,	F_99
bd_add_to_bdi	,	F_14
"Unknown wValue:%d\n"	,	L_59
ep0_response_buff	,	V_197
BDC_EP_STALL	,	V_129
USB_STATE_ADDRESS	,	V_161
INIT_LIST_HEAD	,	F_105
zero	,	V_229
ep0_stall	,	F_72
next_table	,	V_16
cpu_to_le16	,	F_80
"Babble on ep0 zlp_need:%d\n"	,	L_93
MARK_CHAIN_BD	,	V_19
actual	,	V_111
tmp_32	,	V_124
USB_INTRF_FUNC_SUSPEND_RW	,	V_190
USB_TYPE_MASK	,	V_205
ep_bd_list_alloc	,	F_9
usb_endpoint_xfer_isoc	,	F_10
bd_transfer	,	V_84
ops	,	V_248
"Unknown ep0 state for queueing bd ep0_state:%s\n"	,	L_18
dir_in	,	V_240
__le16	,	V_196
name	,	V_10
delayed_status	,	V_112
ep0_state_string	,	V_78
desc	,	V_20
"%s  %llx\n"	,	L_9
bdc_ep_array	,	V_54
"dma mapping failed\n"	,	L_32
next	,	V_104
"%s ep:%p num_tabs:%d\n"	,	L_7
bdc_free_ep	,	F_64
bdc_gadget_ep_set_halt	,	F_97
BD_LTF	,	V_93
ECONNRESET	,	V_231
"Babble on ep not handled\n"	,	L_94
speed	,	V_125
dev_err	,	F_16
caps	,	V_239
zlp_needed	,	V_74
BD_SBF	,	V_91
USB_DEV_STAT_U1_ENABLED	,	V_179
"dma_first_bd:%llx dma_last_bd:%llx\n"	,	L_10
kzalloc	,	F_11
REMOTE_WAKE_ENABLE	,	V_168
cpu_to_le32	,	F_6
bdc_stop_ep	,	F_42
"%s ep:%s num_tabs:%d\n"	,	L_1
"%s already freed\n"	,	L_2
type_int	,	V_246
max_len_bds	,	V_144
USB_ENDPOINT_DIR_MASK	,	V_194
BD_IOC	,	V_96
"USB_RECIP_DEVICE devstatus:%08x\n"	,	L_68
usb_ctrlrequest	,	V_154
gfp_t	,	T_6
"ZLP needed wVal:%d len:%d MaxP:%d\n"	,	L_17
USB_DEVICE_LTM_ENABLE	,	V_184
"Err in setting Test mode\n"	,	L_87
bDescriptorType	,	V_235
"chain_bd1:%d chain_bd2:%d\n"	,	L_13
"ep0 related packets on non ep0 endpoint"	,	L_92
ep_set_halt	,	F_61
list_empty	,	F_43
BDC_U1E	,	V_177
XSF_BABB	,	V_227
eqp_bdi	,	V_30
dir_out	,	V_241
BD_TYPE_SS	,	V_76
BDC_U1T	,	F_77
usb_gadget_giveback_request	,	F_39
USB_DEV_STAT_U2_ENABLED	,	V_183
"%s called for ep0\n"	,	L_106
chain_bd1	,	V_50
bdc_config_ep	,	F_48
chain_bd2	,	V_51
BDC_U2A	,	V_182
BDC_U2E	,	V_181
bdc_queue_xfr	,	F_32
fail	,	V_26
__func__	,	V_9
ignore_next_sr	,	V_150
epnum	,	V_53
devstatus	,	V_167
"%s ep0_state:%s"	,	L_83
bdc_init_ep	,	F_106
end_bdi	,	V_47
bdc_xsf_ep0_data_start	,	F_85
usb_request	,	V_200
ep_num	,	V_94
start_bd	,	V_12
"%s ep:%s value=%d\n"	,	L_37
kfree	,	F_4
ep0_handle_feature	,	F_78
flags	,	V_55
ep_bdlist_eqp_adv	,	F_24
XSF_STATUS_START	,	V_225
"%s ep0_state:%s\n"	,	L_49
"epnum=%d\n"	,	L_66
"%s  ep:%p\n"	,	L_44
USB_DEVICE_U2_ENABLE	,	V_180
bd_needed	,	V_34
TEST_SE0_NAK	,	V_138
WAIT_FOR_DATA_START	,	V_65
bd_table	,	V_6
"xsf for ep not enabled\n"	,	L_89
ESHUTDOWN	,	V_105
chain_bds	,	V_145
EAGAIN	,	V_232
usb_ep	,	V_103
EINVAL	,	V_45
BD_SOT	,	V_90
USB_RECIP_MASK	,	V_186
bRequest	,	V_207
queue	,	V_99
"usb_req !=req n"	,	L_101
list_first_entry	,	F_59
bdc_sr_xsf	,	F_88
"%s ep:%p req:%p\n"	,	L_96
usb_endpoint_descriptor	,	V_234
"dma mapping failed %s\n"	,	L_30
lower_32_bits	,	F_7
bdc_set_test_mode	,	F_65
"req length &gt; supported MAX:%d requested:%d\n"	,	L_99
"ep%d%s"	,	L_111
bd_p_tab	,	V_17
usb_device_state	,	V_157
"ep bd list allocation failed:%d\n"	,	L_28
offset	,	V_18
setup_first_bd_ep0	,	F_25
"index:%d start_bd:%p dma=%08llx prev_table:%p\n"	,	L_8
WAIT_FOR_STATUS_XMIT	,	V_113
WAIT_FOR_SETUP	,	V_128
"out"	,	L_113
"init ep ep0 fail %d\n"	,	L_115
bdc_req	,	V_32
DMA_ADDR_INVALID	,	V_233
req_len	,	V_62
NUM_TABLES_ISOCH	,	V_21
usb_status	,	V_195
ep0_set_sel	,	F_82
"usb2_pm=%08x"	,	L_43
XSF_DATA_START	,	V_224
tbi	,	V_43
"%s req:%p\n"	,	L_22
maxp	,	V_81
"Err bd pointing to wrong addr\n"	,	L_20
BD_DIR_IN	,	V_70
"bdc_gadget_ep_enable missing wMaxPacketSize\n"	,	L_103
"%s set:%d dev state:%d\n"	,	L_53
find_end_bdi	,	F_19
spin_lock	,	F_40
"ep=%p ep-&gt;usb_ep.name=%s epnum=%d ep-&gt;epnum=%d\n"	,	L_114
addr	,	V_159
value	,	V_127
gfp_flags	,	V_228
"%s sr_status=%d ep:%s\n"	,	L_91
"Unknown ep0_state:%s\n"	,	L_88
BD_INTR_TARGET	,	F_30
bdi_to_bd	,	F_23
BD_EOT	,	V_97
NUM_BDS_PER_TABLE	,	V_23
"Unknown recipient\n"	,	L_67
bdc_writel	,	F_22
USB_ENDPOINT_HALT	,	V_192
_req	,	V_201
bd_needed_req	,	F_13
FUNC_WAKE_ISSUED	,	V_221
chain_table	,	F_5
bdc_readl	,	F_56
"trying to queue req %p to disabled %s\n"	,	L_98
num_tabs	,	V_3
"USB_DEVICE_U1_ENABLE\n"	,	L_56
dma_pool_free	,	F_3
prev_table	,	V_15
