"%s: Halt channel %d\n"	,	L_116
HPTXSTS	,	V_223
wlength	,	V_449
multi	,	V_568
fs_phy_type	,	V_23
max_packet	,	V_152
URB_SHORT_NOT_OK	,	V_582
dwc2_kill_urbs_in_qh_list	,	F_63
dwc2_dump_host_registers	,	F_159
dwc2_host_disconnect	,	F_34
"ClearPortFeature USB_PORT_FEAT_C_ENABLE\n"	,	L_156
VERBOSE_DEBUG	,	F_24
halt_pending	,	V_219
kmalloc_size	,	V_401
"initial grxfsiz=%08x\n"	,	L_19
USB_PORT_FEAT_C_ENABLE	,	V_466
USB_PORT_FEAT_C_CONNECTION	,	V_463
"	 Multi Cnt: %d\n"	,	L_97
synchronize_irq	,	F_184
__func__	,	V_41
dwc2_enable_host_interrupts	,	F_14
orig_qh_ptr	,	V_430
usb_host_endpoint	,	V_336
qtd_tmp	,	V_284
devnum	,	V_170
dwc2_hcd_qh_create	,	F_201
dwc2_hcd_qh_free	,	F_71
GINTSTS_SOF	,	V_91
ep_num	,	V_149
dwc2_hc_enable_ints	,	F_41
DWC2_CONTROL_DATA	,	V_378
haintmsk	,	V_675
flags	,	V_286
USB_PORT_STAT_C_RESET	,	V_491
USB_PORT_STAT_POWER	,	V_500
"SetPortFeature - USB_PORT_FEAT_TEST\n"	,	L_175
DeviceRemovable	,	V_484
"	  comp split %d\n"	,	L_67
"INTERRUPT"	,	L_251
"	 hcchar: 0x%08x\n"	,	L_82
"%s() FAILED, returning %d\n"	,	L_292
"  Endpoint: %d, %s\n"	,	L_248
usb_hcd_link_urb_to_ep	,	F_202
HUB_CHAR_COMMON_LPSM	,	V_478
ntd	,	V_269
HCFG_FSLSPCLKSEL_SHIFT	,	V_33
"invalid fifo sizes\n"	,	L_18
port_suspend_change	,	V_319
dma_set_coherent_mask	,	F_231
HCCHAR_CHENA	,	V_218
"%s: urb %p device %d ep %d-%s status %d actual %d\n"	,	L_238
"exit hibernation failed\n"	,	L_245
"Set speed to default high-speed\n"	,	L_276
"Init: Port Power? op_state=%d\n"	,	L_118
"Peripheral"	,	L_142
kmem_cache_destroy	,	F_244
USB_PORT_STAT_ENABLE	,	V_495
GUSBCFG_ULPI_FS_LS	,	V_62
periodic_sched_assigned	,	V_294
"  NP Tx FIFO Space Avail (before queue): %d\n"	,	L_132
"Frame remaining at start_transfer (uframe 7):\n"	,	L_226
dwc2_host_hub_info	,	F_35
dwc2_hcd_hub_control	,	F_145
"      transfer_dma: %08lx\n"	,	L_214
chan	,	V_139
"new grxfsiz=%08x\n"	,	L_20
"\n"	,	L_186
list_first_entry	,	F_122
desc_list_sz	,	V_276
iso_desc_count	,	V_529
ttport	,	V_171
dwc2_hcd_iso_packet_desc	,	V_371
dwc2_config_fifos	,	F_18
lx_state	,	V_307
b_hnp_enable	,	V_439
CONFIG_USB_DWC2_TRACK_MISSED_SOFS	,	F_228
HCFG_FSLSSUPP	,	V_357
"  P Tx FIFO Space Avail: %d\n"	,	L_223
"ClearPortFeature USB_PORT_FEAT_INDICATOR\n"	,	L_153
"BULK"	,	L_250
dwc2_disable_global_interrupts	,	F_236
dwc2_hcd_start_func	,	F_180
"  Control setup transaction\n"	,	L_120
"	 Start PID: %d\n"	,	L_94
GUSBCFG_TERMSELDLPULSE	,	V_348
usb_urb_dir_in	,	F_109
GI2CCTL_I2CDEVADDR_SHIFT	,	V_49
windex	,	V_440
udev	,	V_624
DWC2_TRANSACTION_PERIODIC	,	V_417
"Resume: HPRT0=%0x\n"	,	L_146
status_buf_dma	,	V_381
"  P Tx Req Queue Space Avail (before queue): %d\n"	,	L_128
"Frame remaining at start_transfer (uframe 0):\n"	,	L_227
dwc2_hcd_qh_unlink	,	F_69
"      actual_length: %d\n"	,	L_216
"FS PHY selected\n"	,	L_2
TSIZ_XFERSIZE_SHIFT	,	V_258
"  periodic_usecs: %d\n"	,	L_219
HCINTMSK_RESERVED14_31	,	V_192
"  Num channels: %d\n"	,	L_189
reload_ctl	,	V_358
DWC2_HCSPLT_XACTPOS_BEGIN	,	V_391
"OUT"	,	L_211
"dequeue/error\n"	,	L_75
"ClearPortFeature USB_PORT_FEAT_C_RESET\n"	,	L_155
OTG_STATE_A_HOST	,	V_353
IORESOURCE_MEM	,	V_652
dwc2_sch_vdbg	,	F_53
"    hfnum: 0x%08x\n"	,	L_202
URB_ZERO_PACKET	,	V_612
dword_count	,	V_246
dwc2_kill_all_urbs	,	F_72
temp	,	V_393
xfer_len	,	V_158
dwc2_hcd_init	,	F_225
DWC2_DUMP_FRREM	,	F_160
dwc2_qh_list_free	,	F_67
new_connection	,	V_507
WARN_ON	,	F_164
frame_list	,	V_664
dwc2_host_chan	,	V_138
"isoc\n"	,	L_46
DWC2_HC_XFER_NO_HALT_STATUS	,	V_215
"Host Mode\n"	,	L_112
"Wrote %pad to HCDMA(%d)\n"	,	L_100
queue_work	,	F_215
dwc2_conn_id_status_change	,	F_135
OTG_STATE_A_SUSPEND	,	V_315
non_periodic_channels	,	V_305
dwc2_host_put_tt_info	,	F_163
host_dma	,	V_10
available_host_channels	,	V_304
qtd_list_entry	,	V_408
hfnum_other_frrem_accum	,	V_547
parent	,	V_626
periodic_sched_ready	,	V_293
"%s\n"	,	L_296
"setting ACK\n"	,	L_51
"ISOCHRONOUS"	,	L_252
pcgctl	,	V_441
dwc2_hcd_qh_deactivate	,	F_93
nptxsts	,	V_213
"	 Xfer Size: %d\n"	,	L_92
SetHubFeature	,	V_508
GRXFSIZ_DEPTH_MASK	,	V_110
FIFOSIZE_STARTADDR_SHIFT	,	V_115
"  NP Tx FIFO Space Avail (after queue): %d\n"	,	L_134
USB_PORT_FEAT_INDICATOR	,	V_462
dwc2_hcd_qtd_unlink_and_free	,	F_66
GDFIFOCFG_EPINFOBASE_SHIFT	,	V_123
dev	,	V_30
"  Setup buffer: %p, Setup DMA: %08lx\n"	,	L_262
dwc2_free_dev	,	F_216
"hsotg-&gt;hcd = %p\n"	,	L_294
halt_on_queue	,	V_225
dwc2_port_suspend	,	F_144
"DWC OTG HCD Has Root Hub\n"	,	L_243
dwc2_transaction_type	,	V_329
dwc2_hcd_connect	,	F_80
"Do port resume before switching to device mode\n"	,	L_139
"%s()\n"	,	L_17
dwc2_flush_rx_fifo	,	F_100
"unable to create dwc2 generic desc cache\n"	,	L_289
HCCHAR_MULTICNT_SHIFT	,	V_267
DWC2_TRANSACTION_ALL	,	V_419
xfer_count	,	V_248
HPRT0	,	V_125
dwc2_free_dma_aligned_buffer	,	F_107
GHWCFG2_OP_MODE_SRP_ONLY_CAPABLE	,	V_81
"    multi_count: %d\n"	,	L_192
actual_length	,	V_412
"    hcchar 0x%08x, hcsplt 0x%08x\n"	,	L_27
otgctl	,	V_345
intmsk	,	V_3
HCCHAR_EPNUM_SHIFT	,	V_195
usleep_range	,	F_186
dwc2_reset_device	,	F_217
dma_set_mask	,	F_229
dma_alloc_coherent	,	F_242
GOTGCTL_HSTSETHNPEN	,	V_364
"  port_over_current_change: %d\n"	,	L_183
intr_mask	,	V_323
HPRT0_SPD_LOW_SPEED	,	V_502
dev_addr	,	V_148
qh_tmp	,	V_281
EBUSY	,	V_342
bw	,	V_572
HCINTMSK_NYET	,	V_182
"	  is_in %d\n"	,	L_71
"Set speed to high-speed\n"	,	L_277
_dwc2_hcd_irq	,	F_209
HCSPLT_XACTPOS_SHIFT	,	V_206
num_packets	,	V_256
INIT_WORK	,	F_238
"  samples %u, accum %llu, avg %llu\n"	,	L_225
GHWCFG2_SLAVE_ONLY_ARCH	,	V_71
"## timeout in dwc2_hcd_endpoint_disable() ##\n"	,	L_109
host_perio_tx_fifo_size	,	V_103
bEndpointAddress	,	V_622
dwc2_frame_num_dec	,	F_54
hibernation	,	V_444
reset_device	,	V_650
periodic_sched_queued	,	V_295
URB_NO_INTERRUPT	,	V_611
dwc2_calc_frame_interval	,	F_19
usb_hcd_unmap_urb_for_dma	,	F_119
"initial hptxfsiz=%08x\n"	,	L_23
platform_device	,	V_636
"  Speed: %s\n"	,	L_258
HCINTMSK_AHBERR	,	V_191
HPRT0_OVRCURRACT	,	V_497
"In host mode, hprt0=%08x\n"	,	L_173
"DWC OTG HCD URB Dequeue\n"	,	L_269
"Slave Only Mode\n"	,	L_12
max_transfer_size	,	V_253
hfnum_0_samples_a	,	V_550
"connId A\n"	,	L_144
"LOW"	,	L_256
hfnum_0_samples_b	,	V_556
USB_SPEED_LOW	,	V_198
"No QTDs in QH list\n"	,	L_124
"Initializing HCFG.FSLSPClkSel to %08x\n"	,	L_1
TSIZ_XFERSIZE_MASK	,	V_259
DWC2_HCD_STATUS_BUF_SIZE	,	V_630
hfnum_7_samples_a	,	V_548
hfnum_7_samples_b	,	V_554
GGPIO	,	V_43
HPRT0_ENA	,	V_459
dwc2_read_packet	,	F_20
error_state	,	V_187
hc_dma	,	V_146
"SSPLIT"	,	L_66
dma_aligned_buffer	,	V_392
dwc2_alloc_dma_aligned_buffer	,	F_111
dwc2_set_pid_isoc	,	F_55
num_sgs	,	V_402
count	,	V_365
GUSBCFG_SRPCAP	,	V_75
"      transfer_buffer_length: %d\n"	,	L_215
ep	,	V_337
"ClearPortFeature USB_PORT_FEAT_C_OVER_CURRENT\n"	,	L_159
hs_phy_type	,	V_21
"	 Ep Num: %d\n"	,	L_59
usbcfg_old	,	V_51
hfnum_other_samples	,	V_546
"    dev_addr: %d, ep_num: %d, ep_is_in: %d\n"	,	L_29
USB_ENDPOINT_XFER_BULK	,	V_175
_dwc2_hcd_urb_enqueue	,	F_198
platform_get_resource	,	F_234
work_struct	,	V_432
TSIZ_SC_MC_PID_MASK	,	V_264
dwc2_enter_hibernation	,	F_189
"Setting ULPI FSLS\n"	,	L_9
dwc2_hcd_to_hsotg	,	F_161
dwc2_hcd_qtd_add	,	F_89
dbg_urb	,	F_170
periodic_usecs	,	V_539
phy_type	,	V_26
GINTSTS_OTGINT	,	V_8
cancel_work_sync	,	F_220
dwc2_hsotg_to_hcd	,	F_31
setup_dma	,	V_376
"Wrote %08x to HCTSIZ(%d)\n"	,	L_91
dwc2_hcd_select_transactions	,	F_90
"    halt_on_queue: %d\n"	,	L_194
dwc2_hcd_dump_frrem	,	F_157
phy_ulpi_ext_vbus	,	V_347
"	 halt_on_queue: %d\n"	,	L_84
dwc2_hsotg_core_connect	,	F_141
grxfsiz	,	V_107
retry	,	V_338
TSIZ_DOPNG	,	V_250
"      qtd: %p, urb: %p\n"	,	L_208
GINTMSK	,	V_17
"Using Descriptor DMA mode\n"	,	L_14
fifo	,	V_134
bandwidth_allocated	,	V_575
length	,	V_380
"enter hibernation failed\n"	,	L_244
DMA_BIT_MASK	,	F_230
